iter	RMSE
460	0.1053162434
461	0.1052687208
462	0.1052190393
463	0.1051736541
464	0.1051363735
465	0.1051030077
466	0.1050765057
467	0.1050693193
468	0.1050176582
469	0.1049702694
470	0.1049105749
471	0.1049079218
472	0.104816314
473	0.1047281659
474	0.1046923151
475	0.1046649457
476	0.104626076
477	0.1045323407
478	0.1045113534
479	0.1044672428
480	0.1044238813
481	0.1043807268
482	0.1043340833
483	0.104326299
484	0.1043074441
485	0.104258895
486	0.1042298293
487	0.1042168484
488	0.104165877
489	0.1040794518
490	0.1040201182
491	0.103952945
492	0.1039143341
493	0.1038583734
494	0.1038189467
495	0.1037420186
496	0.1036988734
497	0.1036598505
498	0.1036305311
499	0.1035338893
500	0.103478501
501	0.1034304774
502	0.1033905036
503	0.1033540875
504	0.1033139829
505	0.1032966666
506	0.1032049639
507	0.1031695923
508	0.1031434578
509	0.1030872633
510	0.1030528503
511	0.1029761888
512	0.1029446735
513	0.1028549324
514	0.1028134189
515	0.1027788777
516	0.1026850921
517	0.1026521751
518	0.1026201935
519	0.1025934281
520	0.1025613126
521	0.102513792
522	0.1024767839
523	0.1024458305
524	0.1024277083
525	0.1023678311
526	0.1023046397
527	0.102263751
528	0.1022580466
529	0.1022252682
530	0.1021811536
531	0.1021020117
532	0.1021002606
533	0.1020937419
534	0.1020585377
535	0.1019660288
536	0.1019164839
537	0.1018664778
538	0.1018613012
539	0.1018261312
540	0.1017704239
541	0.1017431532
542	0.1016821559
543	0.1016528348
544	0.1016488987
545	0.1015966912
546	0.1015310301
547	0.1015184031
548	0.1014829461
549	0.101441347
550	0.1013345786
551	0.1013135121
552	0.1012176869
553	0.1011413748
554	0.1011107973
555	0.1010773909
556	0.1010717369
557	0.1010218456
558	0.1009604059
559	0.1009127206
560	0.1008727587
561	0.1008144525
562	0.1007734617
563	0.1007342297
564	0.10068909
565	0.1006139787
566	0.100603613
567	0.1005637559
568	0.1005078756
569	0.1004239088
570	0.1004148331
571	0.1003801858
572	0.1003333692
573	0.1002993542
574	0.1002963781
575	0.1002648706
576	0.1002610073
577	0.1001964035
578	0.100133679
579	0.1000753877
580	0.1000439133
581	0.1000406023
582	0.100016777
583	0.09993591695
584	0.09988603757
585	0.09981604692
586	0.09975869339
587	0.09970828802
588	0.09970610941
589	0.09967079416
590	0.09962199257
591	0.09962031193
592	0.09959268529
593	0.09956190996
594	0.09953200049
595	0.09951216722
596	0.09950961669
597	0.09942455264
598	0.09940223439
599	0.09932517385
600	0.09924990186
601	0.0991995287
602	0.09912049817
603	0.09907719897
604	0.09904962623
605	0.09902984361
606	0.09896385949
607	0.09893114603
608	0.09888195097
609	0.09881760813
610	0.09874744505
611	0.09874131446
612	0.09863952407
613	0.09859087486
614	0.09852442125
615	0.09848662091
616	0.09840267374
617	0.09835409623
618	0.09831765522
619	0.09826732401
620	0.09826610021
621	0.09822936893
622	0.09820325958
623	0.09815469594
624	0.09813697466
625	0.09804944805
626	0.09804616967
627	0.09801604896
628	0.09799088191
629	0.09794334721
630	0.09791469794
631	0.09790940129
632	0.09790434241
633	0.0978771069
634	0.09784369482
635	0.09781660725
636	0.09780158286
637	0.09779715911
638	0.09779286646
639	0.09775670624
640	0.09773146139
641	0.09769822112
642	0.09769352562
643	0.0976500331
644	0.09762399167
645	0.09754977971
646	0.09752065345
647	0.09747940362
648	0.09740472288
649	0.09736235198
650	0.09730667027
651	0.09728342773
652	0.09724081191
653	0.09721234975
654	0.09718417491
655	0.09714930417
656	0.09712170196
657	0.09712007321
658	0.09707863313
659	0.09707464157
660	0.097050622
661	0.09703292662
662	0.09702905666
663	0.09700422981
664	0.09695700335
665	0.09690057006
666	0.09687170936
667	0.09684500638
668	0.09678544937
669	0.09675711776
670	0.0967328102
671	0.09670785873
672	0.0966801415
673	0.09662947356
674	0.09659143544
675	0.09654343925
676	0.09652283283
677	0.09651480464
678	0.09649913439
679	0.09646422187
680	0.09637953361
681	0.09636317884
682	0.09632691404
683	0.09628983276
684	0.09628773246
685	0.09627448392
686	0.09625113174
687	0.09619145187
688	0.09615711743
689	0.09611735604
690	0.09609503625
691	0.09599154956
692	0.09595944636
693	0.09592454922
694	0.09589491225
695	0.09579647948
696	0.09576906961
697	0.09573423289
698	0.09573156888
699	0.09570302539
700	0.0956816998
701	0.09566221691
702	0.09561880828
703	0.09559406069
704	0.09558672757
705	0.09556536544
706	0.09554506929
707	0.09550414469
708	0.09547271331
709	0.09546641558
710	0.09546263412
711	0.09543210816
712	0.09540479196
713	0.09535009323
714	0.09530220253
715	0.0952400136
716	0.09517547381
717	0.09513613429
718	0.09511172237
719	0.09508197436
720	0.09506284357
721	0.09498734467
722	0.09494663558
723	0.09493674927
724	0.0949027394
725	0.09489410863
726	0.09486550314
727	0.09483508819
728	0.09481553052
729	0.09476910076
730	0.09473666882
731	0.09468853193
732	0.09460521468
733	0.09459689153
734	0.09456959903
735	0.09453707447
736	0.09453387646
737	0.094488112
738	0.09441186737
739	0.09440248454
740	0.0943817562
741	0.09431972287
742	0.09429941932
743	0.09424554358
744	0.09422460545
745	0.09421343355
746	0.09418219832
747	0.09416452379
748	0.09413462132
749	0.0940749216
750	0.09406873281
751	0.09406629533
752	0.09405279745
753	0.09403512462
754	0.09401704776
755	0.09395632369
756	0.09392070743
757	0.09379935517
758	0.09379438235
759	0.09379270695
760	0.09378392909
761	0.09378145647
762	0.09374277547
763	0.09365237394
764	0.09363534421
765	0.09361292584
766	0.09361138759
767	0.09359885121
768	0.09356930661
769	0.09352794767
770	0.09352077073
771	0.09343914334
772	0.09339414456
773	0.09334242279
774	0.09330692279
775	0.09325208202
776	0.09318334957
777	0.09316845741
778	0.09312315664
779	0.09310689846
780	0.09305733079
781	0.09303408285
782	0.0929749977
783	0.09297346646
784	0.09296217928
785	0.09288909089
786	0.09285491891
